ID;Cohort;Age;Gender
202;2010s;4;M
253;2010s;5;M
204;2010s;5;F
122;2010s;6;F
279;2010s;6;M
2;2010s;6;M
140;2010s;7;M
203;2010s;7;M
222;2010s;7;M
199;2010s;7;F
1256;2010s;7;M
24;2010s;7;
116;2010s;7;F
1855;2000s;7;M
295;2010s;8;F
201;2010s;8;F
129;2010s;8;F
230;2010s;8;F
130;2010s;8;M
278;2010s;9;F
256;2010s;9;M
281;2010s;9;F
289;2010s;9;F
1960;2010s;9;
76;2010s;9;M
1742;2010s;9;M
59;2010s;9;F
192;2010s;9;M
73;2010s;9;M
19;2010s;10;M
297;2010s;10;F
298;2010s;10;F
1957;2010s;10;M
274;2010s;10;F
191;2010s;10;M
29;2010s;10;F
1273;2010s;10;M
141;2010s;10;F
2741;2010s;10;
30;2010s;10;F
213;2010s;10;M
1650;2000s;11;F
1786;2000s;11;F
1251;2000s;11;F
1680;2000s;11;F
1741;2010s;11;F
1549;2000s;11;M
261;2010s;11;F
1687;2000s;12;F
1684;2000s;12;F
218;2010s;12;M
1685;2000s;12;M
3410;2000s;13;M
1320;2000s;13;F
3039;2000s;13;M
1661;2000s;13;F
1761;2000s;14;M
1851;2000s;14;M
135;2000s;15;M
260;2000s;15;M
1221;2000s;15;M
1954;2000s;15;F
1212;2000s;16;F
1468;2000s;16;F
1407;2000s;17;M
738;2000s;17;M
1491;2000s;20;M
1395;1990s;22;F
1378;1990s;23;F
1428;1990s;24;NB
1290;1990s;24;M
1390;1990s;24;F
1248;1990s;25;F
1604;1990s;25;M
1454;1990s;26;F
1866;1990s;27;NB
1455;1990s;27;F
1813;1990s;28;
4125;1990s;28;NB
2137;1990s;28;NB
3284;1990s;28;M
1458;1990s;29;M
220;1990s;30;M
1655;1980s;31;M
1744;1980s;32;M
1605;1980s;32;M
2208;1980s;32;F
1321;1980s;33;F
4297;1980s;34;NB
1423;1980s;36;M
1282;1980s;37;F
1285;1980s;37;M
1316;1980s;38;F
1603;1980s;38;M
1318;1980s;39;F
1310;1980s;39;F
1318;1980s;39;F
1270;1980s;39;F
1339;1980s;39;F
1259;1980s;39;M
1772;1980s;40;F
2228;1980s;40;F
1235;1980s;40;F
1778;1970s;41;M
1312;1970s;41;F
2555;1970s;42;NB
1218;1970s;43;F
2251;1970s;44;M
1338;1970s;45;F
708;1970s;45;M
1365;1970s;46;F
1296;1970s;46;F
1298;1970s;48;
1803;1970s;48;M
1845;1970s;48;M
1757;1970s;49;M
1557;1970s;49;M
1241;1970s;49;M
1252;1970s;49;F
1415;1970s;50;M
1652;1950s;50;F
1456;1950s;50;M
1375;1950s;51;M
1401;1950s;51;M
1211;1950s;55;F
1293;1950s;55;M
1263;1950s;56;F
1205;1950s;57;F
1227;1950s;58;F
1474;1950s;58;M
1255;1950s;59;F
1276;1950s;60;M
1245;1950s;60;F
1262;1950s;60;M
1405;1950s;60;M
3493;1950s;61;F
1294;1950s;61;M
1206;1950s;63;F
1971;1950s;63;F
1215;1950s;63;F
1383;1950s;65;M
1341;1950s;65;M
1275;1950s;65;M
2049;1950s;68;F
4837;1940s;72;M
1209;1940s;73;F
4686;1940s;76;F
2190;1940s;77;F
2279;1940s;77;F
3111;1930s;82;F
3393;1930s;82;M
1466;1930s;83;F
1591;1930s;83;F
3362;1930s;84;M
96;1930s;85;M
223;1930s;85;F
3468;1980s;86;
2315;1930s;86;F
2326;1930s;88;M
3844;1920s;90;F
4498;1920s;92;
4012;1920s;95;F
2454;1920s;100;F
